Time (s),ECG (mV)
0.0,-0.245
0.002777777777777778,-0.215
0.005555555555555556,-0.185
0.008333333333333333,-0.175
0.011111111111111112,-0.17
0.013888888888888888,-0.17
0.016666666666666666,-0.185
0.019444444444444445,-0.17
0.022222222222222223,-0.16
0.025,-0.15
0.027777777777777776,-0.17
0.030555555555555555,-0.205
0.03333333333333333,-0.22
0.03611111111111111,-0.23
0.03888888888888889,-0.21
0.041666666666666664,-0.19
0.044444444444444446,-0.175
0.04722222222222222,-0.185
0.05,-0.19
0.05277777777777778,-0.19
0.05555555555555555,-0.2
0.058333333333333334,-0.2
0.06111111111111111,-0.21
0.06388888888888888,-0.205
0.06666666666666667,-0.215
0.06944444444444445,-0.205
0.07222222222222222,-0.225
0.075,-0.235
0.07777777777777778,-0.225
0.08055555555555556,-0.205
0.08333333333333333,-0.21
0.08611111111111111,-0.2
0.08888888888888889,-0.2
0.09166666666666666,-0.195
0.09444444444444444,-0.185
0.09722222222222222,-0.19
0.1,-0.215
0.10277777777777777,-0.22
0.10555555555555556,-0.195
0.10833333333333334,-0.195
0.1111111111111111,-0.22
0.11388888888888889,-0.25
0.11666666666666667,-0.22
0.11944444444444445,-0.165
0.12222222222222222,-0.15
0.125,-0.145
0.12777777777777777,-0.185
0.13055555555555556,-0.195
0.13333333333333333,-0.195
0.1361111111111111,-0.185
0.1388888888888889,-0.17
0.14166666666666666,-0.16
0.14444444444444443,-0.16
0.14722222222222223,-0.18
0.15,-0.205
0.1527777777777778,-0.2
0.15555555555555556,-0.165
0.15833333333333333,-0.135
0.16111111111111112,-0.13
0.1638888888888889,-0.13
0.16666666666666666,-0.13
0.16944444444444445,-0.11
0.17222222222222222,-0.065
0.175,-0.03
0.17777777777777778,-0.04
0.18055555555555555,-0.055
0.18333333333333332,-0.055
0.18611111111111112,-0.035
0.18888888888888888,0.0
0.19166666666666668,0.015
0.19444444444444445,0.015
0.19722222222222222,0.0
0.2,0.01
0.20277777777777778,0.015
0.20555555555555555,0.02
0.20833333333333334,0.035
0.2111111111111111,0.045
0.21388888888888888,0.04
0.21666666666666667,0.03
0.21944444444444444,0.025
0.2222222222222222,0.005
0.225,-0.005
0.22777777777777777,-0.025
0.23055555555555557,-0.05
0.23333333333333334,-0.05
0.2361111111111111,-0.045
0.2388888888888889,-0.025
0.24166666666666667,-0.02
0.24444444444444444,-0.035
0.24722222222222223,-0.065
0.25,-0.065
0.25277777777777777,-0.075
0.25555555555555554,-0.07
0.25833333333333336,-0.085
0.2611111111111111,-0.1
0.2638888888888889,-0.14
0.26666666666666666,-0.145
0.26944444444444443,-0.14
0.2722222222222222,-0.115
0.275,-0.095
0.2777777777777778,-0.09
0.28055555555555556,-0.1
0.2833333333333333,-0.11
0.2861111111111111,-0.125
0.28888888888888886,-0.125
0.2916666666666667,-0.11
0.29444444444444445,-0.085
0.2972222222222222,-0.095
0.3,-0.08
0.30277777777777776,-0.065
0.3055555555555556,-0.03
0.30833333333333335,-0.04
0.3111111111111111,-0.065
0.3138888888888889,-0.11
0.31666666666666665,-0.145
0.3194444444444444,-0.145
0.32222222222222224,-0.075
0.325,0.035
0.3277777777777778,0.22
0.33055555555555555,0.435
0.3333333333333333,0.695
0.33611111111111114,1.005
0.3388888888888889,1.3
0.3416666666666667,1.535
0.34444444444444444,1.72
0.3472222222222222,1.82
0.35,1.72
0.3527777777777778,1.425
0.35555555555555557,1.02
0.35833333333333334,0.6
0.3611111111111111,0.2
0.3638888888888889,-0.095
0.36666666666666664,-0.215
0.36944444444444446,-0.19
0.37222222222222223,-0.125
0.375,-0.105
0.37777777777777777,-0.115
0.38055555555555554,-0.13
0.38333333333333336,-0.1
0.3861111111111111,-0.075
0.3888888888888889,-0.08
0.39166666666666666,-0.11
0.39444444444444443,-0.125
0.3972222222222222,-0.155
0.4,-0.165
0.4027777777777778,-0.17
0.40555555555555556,-0.17
0.4083333333333333,-0.17
0.4111111111111111,-0.17
0.41388888888888886,-0.185
0.4166666666666667,-0.185
0.41944444444444445,-0.2
0.4222222222222222,-0.19
0.425,-0.175
0.42777777777777776,-0.155
0.4305555555555556,-0.14
0.43333333333333335,-0.175
0.4361111111111111,-0.175
0.4388888888888889,-0.17
0.44166666666666665,-0.15
0.4444444444444444,-0.16
0.44722222222222224,-0.165
0.45,-0.18
0.4527777777777778,-0.19
0.45555555555555555,-0.165
0.4583333333333333,-0.14
0.46111111111111114,-0.13
0.4638888888888889,-0.15
0.4666666666666667,-0.16
0.46944444444444444,-0.145
0.4722222222222222,-0.125
0.475,-0.115
0.4777777777777778,-0.11
0.48055555555555557,-0.115
0.48333333333333334,-0.12
0.4861111111111111,-0.115
0.4888888888888889,-0.095
0.49166666666666664,-0.085
0.49444444444444446,-0.09
0.49722222222222223,-0.09
0.5,-0.1
0.5027777777777778,-0.095
0.5055555555555555,-0.085
0.5083333333333333,-0.065
0.5111111111111111,-0.06
0.5138888888888888,-0.07
0.5166666666666667,-0.05
0.5194444444444445,-0.045
0.5222222222222223,-0.02
0.525,0.01
0.5277777777777778,0.02
0.5305555555555556,0.04
0.5333333333333333,0.055
0.5361111111111111,0.065
0.5388888888888889,0.075
0.5416666666666666,0.095
0.5444444444444444,0.115
0.5472222222222223,0.085
0.55,0.06
0.5527777777777778,0.08
0.5555555555555556,0.125
0.5583333333333333,0.16
0.5611111111111111,0.165
0.5638888888888889,0.17
0.5666666666666667,0.185
0.5694444444444444,0.22
0.5722222222222222,0.225
0.575,0.235
0.5777777777777777,0.22
0.5805555555555556,0.23
0.5833333333333334,0.25
0.5861111111111111,0.28
0.5888888888888889,0.27
0.5916666666666667,0.25
0.5944444444444444,0.255
0.5972222222222222,0.245
0.6,0.235
0.6027777777777777,0.235
0.6055555555555555,0.25
0.6083333333333333,0.23
0.6111111111111112,0.245
0.6138888888888889,0.23
0.6166666666666667,0.22
0.6194444444444445,0.215
0.6222222222222222,0.18
0.625,0.12
0.6277777777777778,0.075
0.6305555555555555,0.065
0.6333333333333333,0.06
0.6361111111111111,0.055
0.6388888888888888,0.025
0.6416666666666667,-0.005
0.6444444444444445,-0.04
0.6472222222222223,-0.085
